City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,quelimane,-17.8786,36.8883,294.65,85,92,3.47,MZ,1746421642
246,bagalkot,16.1833,75.7,307.16,22,29,3.58,IN,1746421779
247,west lafayette,40.4259,-86.9081,283.27,94,100,2.57,US,1746421705
248,kiuruvesi,63.65,26.6167,272.9,76,98,4.93,FI,1746421781
249,ust'-kut,56.7938,105.7672,284.87,55,94,0.74,RU,1746421782
250,saint-francois,46.4154,3.9054,279.64,93,0,4.63,FR,1746421783
251,ancud,-41.8697,-73.8203,283.1,81,100,4.64,CL,1746421785
252,pionerskiy,54.9508,20.2275,280.06,58,49,9.93,RU,1746421786
253,oradea,47.0667,21.9333,288.17,88,0,3.6,RO,1746421676
254,al qusiyah,27.4402,30.8184,292.96,57,0,3.22,EG,1746421788
255,pemagatshel,27.038,91.4031,300.56,37,4,2.91,BT,1746421790
256,ciudad madero,22.2667,-97.8333,299.29,87,17,3.28,MX,1746421791
257,oroqen zizhiqi,50.5667,123.7167,284.5,30,73,3.34,CN,1746421792
258,lamu,-2.2717,40.902,300.49,82,100,5.4,KE,1746421793
259,dawei,14.0833,98.2,305.29,60,62,4.06,MM,1746421794
260,bel ombre,-4.6167,55.4167,304.06,74,20,4.63,SC,1746421796
261,la ronge,55.1001,-105.2842,282.73,78,100,4.19,CA,1746421797
262,hailar,49.2,119.7,284.69,23,100,7.6,CN,1746421799
263,nagqu,31.5,92.0,275.45,81,100,1.23,CN,1746421800
264,quimili,-27.6333,-62.4167,295.03,80,99,2.34,AR,1746421697
265,cockburn town,21.4612,-71.1419,298.86,77,0,7.92,TC,1746421802
266,chibougamau,49.9168,-74.3659,268.29,96,13,1.09,CA,1746421803
267,tamanrasset,22.785,5.5228,294.1,12,90,2.06,DZ,1746421804
268,palapye,-22.546,27.1251,284.14,83,0,2.69,BW,1746421805
269,salym,60.0625,71.4789,278.84,95,100,3.22,RU,1746421806
270,ekibastuz,51.6667,75.3667,289.75,35,7,8.46,KZ,1746421808
271,talnakh,69.4865,88.3972,275.08,100,95,2.4,RU,1746421810
272,hovd,48.0056,91.6419,281.93,22,50,2.02,MN,1746421811
273,feodosiya,45.0333,35.3833,286.29,82,1,2.12,UA,1746421812
274,mitchell,43.7094,-98.0298,288.24,49,0,4.63,US,1746421813
275,fortuna,40.5982,-124.1573,282.58,91,0,4.63,US,1746421814
276,dryden,49.7833,-92.7503,286.27,59,0,4.78,CA,1746421815
277,tralee,52.2704,-9.7026,277.41,83,54,2.75,IE,1746421816
278,pontremoli,44.3751,9.8789,290.74,100,100,2.77,IT,1746421819
279,hammerfest,70.6634,23.6821,273.4,64,0,0.0,NO,1746421820
280,wamba,8.9333,8.6,298.55,62,30,0.77,NG,1746421821
